Framework_ID,Framework_Name,Framework_Version,Publisher,Jurisdiction,Control_ID,Title,Description,Category,Subcategory,Control_Type,Implementation_Guidance,Last_Updated
cis_controls_version_8.1,CIS Controls Version 8.1,Unknown,Unknown,Unknown,08.01.2025,Control 08.01.2025,CIS Controls v8.1 Cloud Worksheet — FrenchRead MoreCase Study08.01.2025BMW’s Strategic IT Security O,Generic,,,,2025-08-13T22:03:48.267120
cis_controls_version_8.1,CIS Controls Version 8.1,Unknown,Unknown,Unknown,07.24.2025,Control 07.24.2025,Automating the CIS Controls with OSCALRead MoreAboutLeadershipBoardCommunitiesCareersMediaTestimonia,Generic,,,,2025-08-13T22:03:48.267120
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-01,Application & Interface Security Control 1,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-02,Application & Interface Security Control 2,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-03,Application & Interface Security Control 3,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-04,Application & Interface Security Control 4,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-05,Application & Interface Security Control 5,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-06,Application & Interface Security Control 6,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-07,Application & Interface Security Control 7,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-08,Application & Interface Security Control 8,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-APP-09,Application & Interface Security Control 9,Cloud security control for application & interface security,Application & Interface Security,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-01,Audit Assurance & Compliance Control 1,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-02,Audit Assurance & Compliance Control 2,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-03,Audit Assurance & Compliance Control 3,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-04,Audit Assurance & Compliance Control 4,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-05,Audit Assurance & Compliance Control 5,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-06,Audit Assurance & Compliance Control 6,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-07,Audit Assurance & Compliance Control 7,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-08,Audit Assurance & Compliance Control 8,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-09,Audit Assurance & Compliance Control 9,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-AUD-10,Audit Assurance & Compliance Control 10,Cloud security control for audit assurance & compliance,Audit Assurance & Compliance,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-01,Business Continuity Management & Operational Resilience Control 1,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.528716
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-02,Business Continuity Management & Operational Resilience Control 2,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-03,Business Continuity Management & Operational Resilience Control 3,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-04,Business Continuity Management & Operational Resilience Control 4,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-05,Business Continuity Management & Operational Resilience Control 5,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-06,Business Continuity Management & Operational Resilience Control 6,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-07,Business Continuity Management & Operational Resilience Control 7,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-08,Business Continuity Management & Operational Resilience Control 8,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-09,Business Continuity Management & Operational Resilience Control 9,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-10,Business Continuity Management & Operational Resilience Control 10,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-BUS-11,Business Continuity Management & Operational Resilience Control 11,Cloud security control for business continuity management & operational resilience,Business Continuity Management & Operational Resilience,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-01,Change Control & Configuration Management Control 1,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-02,Change Control & Configuration Management Control 2,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-03,Change Control & Configuration Management Control 3,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-04,Change Control & Configuration Management Control 4,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-05,Change Control & Configuration Management Control 5,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-06,Change Control & Configuration Management Control 6,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-07,Change Control & Configuration Management Control 7,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-08,Change Control & Configuration Management Control 8,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-09,Change Control & Configuration Management Control 9,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-10,Change Control & Configuration Management Control 10,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-11,Change Control & Configuration Management Control 11,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-CHA-12,Change Control & Configuration Management Control 12,Cloud security control for change control & configuration management,Change Control & Configuration Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-01,Data Security & Information Lifecycle Management Control 1,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-02,Data Security & Information Lifecycle Management Control 2,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-03,Data Security & Information Lifecycle Management Control 3,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-04,Data Security & Information Lifecycle Management Control 4,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-05,Data Security & Information Lifecycle Management Control 5,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-06,Data Security & Information Lifecycle Management Control 6,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-07,Data Security & Information Lifecycle Management Control 7,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-08,Data Security & Information Lifecycle Management Control 8,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-09,Data Security & Information Lifecycle Management Control 9,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-10,Data Security & Information Lifecycle Management Control 10,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-11,Data Security & Information Lifecycle Management Control 11,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-12,Data Security & Information Lifecycle Management Control 12,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-13,Data Security & Information Lifecycle Management Control 13,Cloud security control for data security & information lifecycle management,Data Security & Information Lifecycle Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-01,Datacenter Security Control 1,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-02,Datacenter Security Control 2,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-03,Datacenter Security Control 3,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-04,Datacenter Security Control 4,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-05,Datacenter Security Control 5,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-06,Datacenter Security Control 6,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-07,Datacenter Security Control 7,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-08,Datacenter Security Control 8,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-09,Datacenter Security Control 9,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-10,Datacenter Security Control 10,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-11,Datacenter Security Control 11,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-12,Datacenter Security Control 12,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-13,Datacenter Security Control 13,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-DAT-14,Datacenter Security Control 14,Cloud security control for datacenter security,Datacenter Security,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-01,Encryption & Key Management Control 1,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-02,Encryption & Key Management Control 2,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-03,Encryption & Key Management Control 3,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-04,Encryption & Key Management Control 4,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-05,Encryption & Key Management Control 5,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-06,Encryption & Key Management Control 6,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-07,Encryption & Key Management Control 7,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
ccm_v4,Cloud Controls Matrix v4.0,4.0,Cloud Security Alliance,Global,CCM-ENC-08,Encryption & Key Management Control 8,Cloud security control for encryption & key management,Encryption & Key Management,,preventive,,2025-08-13T22:03:48.529756
